29,15|2|4|13
306,8|2|11|9
203,2|30
235,5|2|4|38
178,8|2|39|40|9
229,17|4|52
227,29|8|2|54|9|53
260,5|2|4|55
58,4|68|69
89,8|2|70|9|10
78,2|3
27,2|0|29
40,8|2|9|10|78
204,11|8|2|85|9|84
184,90|2|1
47,79|2|4|17
103,2|30
310,5|4
107,2|76|96
176,4|68
209,12|97
71,52|4|101|100|17
112,2|3
92,111|2
105,29|2|13
15,93|13|2|6
148,8|2|9|13
248,2|106
0,21|2|3
28,21|2|3
152,2|23
183,8|2|9|13
419,2|11
120,4|69|43
186,4|17
239,2|3
170,2|0
1271,2|70
1617,113|19
1003,8|2|9|147|10|13
1019,78|1|2|6
1149,8|2|9|10|105
1565,24|2
1505,11|8|2|9|10|13
575,146|152|2
1081,146|2|11
1607,2|3
1544,2|21
977,8|2|93|54|9|30
1025,75|74|12
1589,8|10|9
978,11|8|2|85|9|76
767,65|61|12
775,102|12
749,61|155
972,158|121|61|124
984,8|2|9|54|53
1522,76|2|23
1053,2|160
1000,2|3
1142,9|12|47
1623,110|2|163
1150,23|55|76|2
1146,24|2
1276,9|12|47
989,2|11
754,2|9|147|12|166
586,87|168
746,2|3
1550,2|0|13
1640,2|77
1015,17|4|52
1535,22|2|23|24
1100,93|2|30
1339,24|2
1519,2|0|13
1558,76|2|30
1517,8|2|9|10|13
1615,24|2
1614,2|106
1097,4|34
899,2|106
1799,19|4|196|17
784,38|79|80|2
1667,65|12
2103,12|97
1373,8|2|39|9|13
867,79|2
2362,31|104|12|97
866,79|2
833,2|76|77
1355,11|8|2|39|9
1461,24|23|2
2143,2|91|53
1168,79|2
2203,2|3
1993,2|13
2415,188|42
1169,1|0|112|2
2262,1|91|53|2
1978,11|2|9|12|47|6
1700,31|104
1285,113|19
2495,2|76|77
1499,40|2
1250,11|8|2|54|9
1378,8|2|39|9|12|40|47
442,12|75
1758,2|13
2437,12|201|19
1403,8|9
897,1|91|53|2
598,65|12
1651,79|2
816,2|1
933,86|52|2|4|79|17
785,24|2
781,29|8|2|9|13
837,79|2|4|17
1992,209|143|37
2539,4|210
820,214|135|2
2142,79|2
881,2|11
2374,13|2|19|117|190
805,79|2
1874,79|2|30
346,185|9|12|61|179|47
922,104|2|145|110|31
2269,2|3
2299,47|9|12|97
2537,40|2
510,219|61
2433,221
911,24|2
1877,140|19|4|17
2353,79|2
1318,4|34|52
445,3|2|1|21
1170,8|2|9|10|222
2361,61|124|228
2475,8|2|93|39|9|13
2473,2|52|1|4|100|112
865,24|2
2487,136|8|10|9
1830,2|145|55|26
786,8|2|9|4|15
1983,5|4
2469,79|2
2033,21|2|3
886,3|2|23|77
2479,4|69|43
2513,136|8|10|9
1737,4|101|52
1663,9|12|166|47
1826,2|0|1|112
2264,21|2|3
2478,2|0|13
2477,156|132|115|28|19
1365,2|138
579,79|2
1892,251|4
1947,93|2
2444,8|90|2|39|9|6
894,2|76|77
2214,51|34|212|4|19|213
1319,2|3
1980,2|29
2196,79|2
913,8|2|9|13
1644,255|19|217|254
1693,8|2|1|9|54|0
1823,76|2|30
1950,192|28|107|19
806,110|2|145|163
2297,136|8|9
1934,188|42
1778,2|4|3|112|17
1800,8|2|39|9|13
1481,79|2
1806,21|2|1|3
2060,2|3
829,2|30|13
1467,8|85|9
810,2|21|13
1224,2|1|4|112|69
2032,2|4|69|13
1683,2|1|43|138|4
1784,17|4|34
488,8|2|93|54|9|30
811,2|91|53
1986,28|19|115
1655,2|76|77
1911,5|4
515,147|2
512,11|104|2|0|31
2434,8|2|9|13
920,8|2|85|9|3
2114,2|29
1716,4|69|43
1922,93|2
1712,2|11|76
1868,57|217|265|19|255
812,2|138
661,138|0|21|2
2226,49|51|48|19|50
2069,267|2|55
2208,2|268
1893,79|2
1289,79|2|7
1483,2|53
1754,82|31|103|172|87
1890,2|1|4|112|69
1831,5|4
626,4|43|17
2202,27|28|19|196
365,8|2|9|54|0|3
591,270|2|159
1805,24|2
1761,2|271|13
551,2|0
1501,136|8|85|9
550,78|2|6
725,49|51|19
1816,2|106
1818,24|2|23|7
1851,2|3
659,5|2|210|0|4
1795,21|2|1|3
2295,79|2
1767,21|2|1|3
1739,31|79|2|104
2493,5|2|4|1
2016,53|2|3|13
1664,172|82|81
2006,79|2
2387,8|2|39|9|13
2194,24|2
1370,21|2|1|3
2007,24|2
1675,21|22|3|2
2044,2|106
645,56|4|52|17
2259,2|1|21|6
2120,3|2|21
1819,2|91|53
1827,2|4|1|43
592,2|3
1848,2|76|77
1997,285|4|17
2285,24|2
2257,38|29|2|13
840,79|2
2507,40|2
2435,2|288|30
312,87|168
1375,93|2
2228,155|61
2423,14|155|291|61|12
2057,79|2
952,13|2|52|0|4|292
825,61|179
791,76|2|30|77
2399,120|2|1|0|4
2388,8|2|54|9|271
2508,2|160
528,2|13
2471,79|80|2
1452,43|4|31|69
862,79|2|0
857,2|91|53
1235,21|2|1|3
2036,2|76|77
496,93|2
929,110|2|145|163
2138,2|1
1399,23|2|30|77
1837,2|21|13
2407,8|2|39|9|13|6
513,15|2|4|13
724,2|30
1927,8|2|11|9
1653,111|2
1860,102|12
1478,299|19
2155,2|1
1200,24|2
1201,2|77
946,2|96
1909,93|40|2|13
1438,2|9|12|21|47
2078,21|22|3|2
529,26|2|21|13
2149,2|268
1162,2|0|13
1363,309|67|87|66
2068,21|2|3
2071,310|4
548,79|2
2073,111|2
1184,3|2|21
2541,8|2|9|54|3|21
802,2|11|55|53
1179,5|4
1207,79|2
1172,311|2|30|24
1404,86|52|312|4|17
2464,2|0|13
1937,2|76|77
